,Model,AUC_cv,BA_cv,f1_cv,nMCC_cv,AUC_t,BA_t,f1_t,nMCC_t,algorithm,seed,data,score
0,M1,0.8324735449735451,0.7526388888888889,0.7832359214946374,0.7626931047807225,0.907142857142857,0.8428571428571429,0.8181818181818182,0.8380617018914066,rf,57,desc,13
1,M2,0.8555291005291004,0.8129960317460317,0.8232085001341968,0.8191598916847316,0.8499999999999999,0.8785714285714286,0.8571428571428572,0.8745793511523163,knn,57,desc,16
2,M3,0.8166468253968254,0.7527579365079364,0.8025730370420772,0.7677394817893786,0.9214285714285716,0.7857142857142857,0.7692307692307693,0.7988071523335984,svm,57,desc,11
3,M4,0.8324074074074075,0.7785912698412699,0.8042073028450737,0.7892513933383294,0.907142857142857,0.8428571428571429,0.8181818181818182,0.8380617018914066,ada,57,desc,14
4,M5,0.8747831632653061,0.8221428571428571,0.8389599715729747,0.8286569599962036,0.84375,0.8333333333333333,0.8461538461538461,0.8380617018914066,rf,31,desc,16
5,M6,0.8661649659863946,0.8117857142857143,0.809617543103611,0.8166647598462687,0.8194444444444444,0.7083333333333333,0.6956521739130435,0.7090605025017727,knn,31,desc,10
6,M7,0.8744472789115647,0.7914880952380954,0.8033702620049368,0.7969895563834936,0.8194444444444445,0.7916666666666667,0.7826086956521738,0.7926847035024818,svm,31,desc,11
7,M8,0.8656632653061223,0.8026785714285716,0.8194125944574859,0.8088209206048369,0.8263888888888888,0.7916666666666666,0.8148148148148148,0.8012320380383546,ada,31,desc,15
8,M9,0.7593055555555557,0.7070833333333333,0.7501152636493192,0.7128550287004577,0.9,0.7888888888888891,0.7368421052631577,0.7836832573067901,rf,86,desc,6
9,M10,0.8488657407407406,0.7927777777777777,0.8254588677576293,0.7973010704500907,0.9629629629629628,0.8444444444444444,0.7999999999999999,0.8346709757428361,knn,86,desc,13
10,M11,0.8239814814814815,0.7813888888888887,0.8463825005403953,0.8043759315981736,0.9185185185185184,0.7444444444444445,0.6956521739130435,0.7400396792595916,svm,86,desc,9
11,M12,0.7660185185185187,0.7156944444444444,0.7656000786279423,0.7213330865968539,0.8962962962962964,0.7888888888888891,0.7368421052631577,0.7836832573067901,ada,86,desc,6
12,M13,0.8640443121693123,0.7727579365079364,0.8364799565759319,0.7975216738404807,0.8857142857142857,0.7,0.6923076923076923,0.7091650066335189,rf,57,morgan,8
13,M14,0.7578769841269842,0.7578769841269842,0.7746559517194191,0.7626314311395094,0.7714285714285714,0.7714285714285715,0.75,0.7714285714285714,knn,57,morgan,8
14,M15,0.864642857142857,0.7991468253968254,0.8237642295784708,0.8071680466787561,0.8285714285714285,0.8071428571428572,0.7826086956521738,0.8039040018782944,svm,57,morgan,14
15,M16,0.8552182539682539,0.7953174603174602,0.8188130866381641,0.8024862431996014,0.7928571428571428,0.7357142857142858,0.7200000000000001,0.7400396792595916,ada,57,morgan,8
16,M17,0.8319217687074828,0.7592261904761907,0.7763955779342777,0.7652750031051182,0.8298611111111112,0.75,0.75,0.75,rf,31,morgan,10
17,M18,0.8258886054421769,0.7833333333333333,0.7681365007541477,0.7915021551387289,0.8125000000000002,0.7083333333333333,0.6956521739130435,0.7090605025017727,knn,31,morgan,7
18,M19,0.8836054421768709,0.7836904761904762,0.8062475476020368,0.7910211377420602,0.7916666666666666,0.75,0.75,0.75,svm,31,morgan,10
19,M20,0.8421641156462586,0.7905357142857145,0.8002572910405726,0.7963758763967916,0.7777777777777778,0.7083333333333333,0.6956521739130435,0.7090605025017727,ada,31,morgan,7
20,M21,0.7944907407407408,0.6820833333333334,0.7841785077667428,0.7105831429880771,0.8888888888888891,0.8,0.7499999999999999,0.8,rf,86,morgan,8
21,M22,0.7721296296296296,0.7058333333333333,0.7859869312123989,0.7231104828680245,0.874074074074074,0.7444444444444445,0.6956521739130435,0.7400396792595916,knn,86,morgan,4
22,M23,0.8205092592592593,0.7681944444444443,0.8064744120688394,0.7780526612371368,0.8518518518518519,0.8111111111111111,0.7619047619047621,0.8012320380383546,svm,86,morgan,13
23,M24,0.7678703703703704,0.68125,0.7906764147445261,0.7160470050434345,0.8592592592592593,0.6111111111111109,0.5925925925925926,0.6242259987499883,ada,86,morgan,1
24,M25,0.8024074074074076,0.7383333333333334,0.7996347240650644,0.7590753730089801,0.8214285714285714,0.7,0.6923076923076923,0.7091650066335189,rf,57,rdkit,6
25,M26,0.7779166666666667,0.7017857142857143,0.8005849101168792,0.7409989146513332,0.75,0.6285714285714286,0.6428571428571429,0.64638501094228,knn,57,rdkit,1
26,M27,0.8199603174603175,0.7596428571428572,0.8367020535140065,0.7960113846535083,0.7714285714285715,0.6642857142857143,0.6666666666666667,0.6781928760653247,svm,57,rdkit,7
27,M28,0.8255291005291006,0.769404761904762,0.8113623809970558,0.784935767521368,0.8321428571428572,0.7357142857142858,0.7200000000000001,0.7400396792595916,ada,57,rdkit,8
28,M29,0.7067984693877553,0.7147619047619047,0.7635621425358267,0.7278750899742245,0.7152777777777778,0.5833333333333334,0.6666666666666667,0.5962250448649377,rf,31,rdkit,-1
29,M30,0.7977891156462584,0.6817857142857142,0.7519903185909377,0.701770237403292,0.7986111111111109,0.6666666666666666,0.7333333333333334,0.6924500897298753,knn,31,rdkit,3
30,M31,0.7662925170068026,0.7176785714285714,0.7788028650056513,0.7370214988787699,0.8402777777777778,0.625,0.7096774193548387,0.6538967528127732,svm,31,rdkit,3
31,M32,0.7803571428571427,0.7035119047619047,0.7666813602634035,0.7221611816744609,0.8194444444444444,0.6666666666666667,0.7142857142857143,0.6767766952966369,ada,31,rdkit,4
32,M33,0.7973842592592593,0.7522222222222221,0.8107882250188752,0.7675771589095591,0.8444444444444443,0.6888888888888889,0.6363636363636364,0.6835292447622004,rf,86,rdkit,6
33,M34,0.7628703703703704,0.6426388888888889,0.7780465213059774,0.6843228914422803,0.7407407407407407,0.7,0.6666666666666666,0.7236067977499789,knn,86,rdkit,1
34,M35,0.7963888888888888,0.7294444444444445,0.8149853620527331,0.7627194500089873,0.837037037037037,0.7333333333333334,0.6923076923076924,0.7485250608738542,svm,86,rdkit,6
35,M36,0.7833333333333331,0.7391666666666667,0.8126485599024298,0.7655020950930238,0.8518518518518519,0.7333333333333334,0.6923076923076924,0.7485250608738542,ada,86,rdkit,6
36,M37,0.8576719576719579,0.7945634920634922,0.8167399021686945,0.8034783618847466,0.8857142857142857,0.8785714285714286,0.8571428571428572,0.8745793511523163,stack,57,desc,15
37,M38,0.8840986394557823,0.8055357142857144,0.8170727024953031,0.8107445648198348,0.8402777777777778,0.8333333333333333,0.8461538461538461,0.8380617018914066,stack,31,desc,16
