Model,AUC_cv,BA_cv,f1_cv,MCC_cv,AUC_t,BA_t,f1_t,MCC_t,algorithm,seed,data,score
M1,0.832473544973545,0.7526388888888889,0.7832359214946374,0.525386209561445,0.907142857142857,0.8428571428571429,0.8181818181818182,0.6761234037828132,rf,57,desc,13
M2,0.8555291005291004,0.8129960317460317,0.8232085001341968,0.638319783369463,0.8499999999999999,0.8785714285714286,0.8571428571428572,0.7491587023046328,knn,57,desc,16
M3,0.8166468253968254,0.7527579365079364,0.8025730370420772,0.5354789635787572,0.9214285714285715,0.7857142857142857,0.7692307692307693,0.5976143046671968,svm,57,desc,11
M4,0.8324074074074075,0.7785912698412699,0.8042073028450737,0.5785027866766587,0.907142857142857,0.8428571428571429,0.8181818181818182,0.6761234037828132,ada,57,desc,14
M5,0.8747831632653061,0.8221428571428571,0.8389599715729747,0.6573139199924072,0.84375,0.8333333333333333,0.8461538461538461,0.6761234037828132,rf,31,desc,16
M6,0.8661649659863946,0.8117857142857143,0.809617543103611,0.6333295196925375,0.8194444444444444,0.7083333333333333,0.6956521739130435,0.4181210050035454,knn,31,desc,10
M7,0.8744472789115647,0.7914880952380954,0.8033702620049368,0.5939791127669871,0.8194444444444445,0.7916666666666667,0.7826086956521738,0.5853694070049635,svm,31,desc,11
M8,0.8656632653061223,0.8026785714285716,0.819412594457486,0.617641841209674,0.8263888888888888,0.7916666666666666,0.8148148148148148,0.6024640760767094,ada,31,desc,15
M9,0.7593055555555557,0.7070833333333333,0.7501152636493192,0.4257100574009154,0.9,0.788888888888889,0.7368421052631577,0.5673665146135802,rf,86,desc,6
M10,0.8488657407407406,0.7927777777777777,0.8254588677576293,0.5946021409001814,0.9629629629629629,0.8444444444444444,0.7999999999999999,0.6693419514856722,knn,86,desc,13
M11,0.8239814814814815,0.7813888888888887,0.8463825005403953,0.6087518631963471,0.9185185185185185,0.7444444444444445,0.6956521739130435,0.4800793585191832,svm,86,desc,9
M12,0.7660185185185187,0.7156944444444444,0.7656000786279423,0.4426661731937077,0.8962962962962964,0.788888888888889,0.7368421052631577,0.5673665146135802,ada,86,desc,6
M13,0.8640443121693123,0.7727579365079364,0.8364799565759319,0.5950433476809615,0.8857142857142857,0.7,0.6923076923076923,0.4183300132670378,rf,57,morgan,8
M14,0.7578769841269842,0.7578769841269842,0.7746559517194191,0.5252628622790187,0.7714285714285714,0.7714285714285715,0.75,0.5428571428571428,knn,57,morgan,8
M15,0.864642857142857,0.7991468253968254,0.823764229578471,0.6143360933575122,0.8285714285714285,0.8071428571428572,0.7826086956521738,0.6078080037565888,svm,57,morgan,14
M16,0.8552182539682539,0.7953174603174602,0.818813086638164,0.6049724863992026,0.7928571428571428,0.7357142857142858,0.7200000000000001,0.4800793585191832,ada,57,morgan,8
M17,0.8319217687074828,0.7592261904761907,0.7763955779342777,0.5305500062102364,0.8298611111111112,0.75,0.75,0.5,rf,31,morgan,10
M18,0.8258886054421769,0.7833333333333333,0.7681365007541477,0.5830043102774579,0.8125000000000002,0.7083333333333333,0.6956521739130435,0.4181210050035454,knn,31,morgan,7
M19,0.8836054421768709,0.7836904761904762,0.8062475476020368,0.5820422754841202,0.7916666666666666,0.75,0.75,0.5,svm,31,morgan,10
M20,0.8421641156462586,0.7905357142857145,0.8002572910405726,0.5927517527935834,0.7777777777777778,0.7083333333333333,0.6956521739130435,0.4181210050035454,ada,31,morgan,7
M21,0.7944907407407408,0.6820833333333334,0.784178507766743,0.4211662859761543,0.888888888888889,0.8,0.7499999999999999,0.6,rf,86,morgan,8
M22,0.7721296296296296,0.7058333333333333,0.7859869312123989,0.44622096573604886,0.874074074074074,0.7444444444444445,0.6956521739130435,0.4800793585191832,knn,86,morgan,4
M23,0.8205092592592593,0.7681944444444443,0.8064744120688394,0.5561053224742737,0.8518518518518519,0.8111111111111111,0.761904761904762,0.6024640760767094,svm,86,morgan,13
M24,0.7678703703703704,0.68125,0.7906764147445261,0.4320940100868691,0.8592592592592593,0.611111111111111,0.5925925925925926,0.24845199749997662,ada,86,morgan,1
M25,0.8024074074074076,0.7383333333333334,0.7996347240650644,0.5181507460179603,0.8214285714285714,0.7,0.6923076923076923,0.4183300132670378,rf,57,rdkit,6
M26,0.7779166666666667,0.7017857142857143,0.8005849101168792,0.48199782930266627,0.75,0.6285714285714286,0.6428571428571429,0.29277002188455997,knn,57,rdkit,1
M27,0.8199603174603175,0.7596428571428572,0.8367020535140065,0.5920227693070166,0.7714285714285715,0.6642857142857143,0.6666666666666667,0.35638575213064944,svm,57,rdkit,7
M28,0.8255291005291006,0.769404761904762,0.8113623809970558,0.5698715350427359,0.8321428571428572,0.7357142857142858,0.7200000000000001,0.4800793585191832,ada,57,rdkit,8
M29,0.7067984693877553,0.7147619047619047,0.7635621425358267,0.4557501799484489,0.7152777777777778,0.5833333333333334,0.6666666666666667,0.19245008972987526,rf,31,rdkit,-1
M30,0.7977891156462584,0.6817857142857142,0.7519903185909377,0.40354047480658406,0.798611111111111,0.6666666666666666,0.7333333333333334,0.3849001794597505,knn,31,rdkit,3
M31,0.7662925170068026,0.7176785714285714,0.7788028650056513,0.47404299775753983,0.8402777777777778,0.625,0.7096774193548387,0.30779350562554625,svm,31,rdkit,3
M32,0.7803571428571427,0.7035119047619047,0.7666813602634035,0.4443223633489216,0.8194444444444444,0.6666666666666667,0.7142857142857143,0.3535533905932738,ada,31,rdkit,4
M33,0.7973842592592593,0.7522222222222221,0.8107882250188752,0.5351543178191183,0.8444444444444443,0.6888888888888889,0.6363636363636364,0.3670584895244009,rf,86,rdkit,6
M34,0.7628703703703704,0.6426388888888889,0.7780465213059774,0.3686457828845605,0.7407407407407407,0.7,0.6666666666666666,0.4472135954999579,knn,86,rdkit,1
M35,0.7963888888888888,0.7294444444444445,0.8149853620527331,0.5254389000179747,0.837037037037037,0.7333333333333334,0.6923076923076924,0.4970501217477084,svm,86,rdkit,6
M36,0.7833333333333331,0.7391666666666667,0.8126485599024298,0.5310041901860477,0.8518518518518519,0.7333333333333334,0.6923076923076924,0.4970501217477084,ada,86,rdkit,6
